NC,satisfactory_result,T0,max_iterations,alpha,eps,delta,i_final,final_J,final_D,target_D,final_T,elapsed_time,seed,
10,True,100.0,228,0.97,0.000001,1,228,1.724314081560551,3.0941255682291495,,6.448461094653223,9.91544222831726,9057,
10,True,100.0,228,0.97,0.000001,1,228,0.6862542585841374,2.640445236099525,,8.227771268492447,9.885846376419067,5482,
10,False,100.0,228,0.97,0.000001,1,228,0.6805233767102231,4.481895297319914,,5.88533633264044,10.006813526153564,2860,
10,True,100.0,228,0.97,0.000001,1,228,0.7605915802114978,2.267469475611028,,7.980938130437673,9.991231679916382,12378,
10,True,100.0,228,0.97,0.000001,1,228,0.6587786765868643,2.999314432616787,,6.853503129613373,10.090421438217163,2826,
10,False,100.0,228,0.97,0.000001,1,228,1.4598945371302676,5.233185281648534,,7.741509986524543,10.501887083053589,2459,
10,False,100.0,228,0.97,0.000001,1,228,2.908145119737913,5.599087541583025,,5.88533633264044,10.250639200210571,1837,
10,False,100.0,228,0.97,0.000001,1,228,0.2675058185567946,4.0008149480521435,,12.225022422898743,10.081006050109863,14086,
10,False,100.0,228,0.97,0.000001,1,228,-0.017971680354776805,4.9916873601463045,,8.744575691882714,10.0444815158844,5226,
10,False,100.0,228,0.97,0.000001,1,228,2.451119597940098,3.7272418036869084,,5.7087762426612265,10.736461400985718,13845,
10,True,100.0,228,0.97,0.000001,1,228,0.059078039206212185,3.0635452280629507,,6.853503129613373,10.483041286468506,3316,
10,False,100.0,228,0.97,0.000001,1,228,0.5807460461468663,3.644313487222289,,7.065467143931313,10.305920839309692,3959,
10,True,100.0,228,0.97,0.000001,1,228,1.7907786549896625,2.234551113218015,,9.015026486477025,10.222474813461304,12154,
10,False,100.0,228,0.97,0.000001,1,228,0.5638070595323372,5.3524492600373215,,13.809015824830592,10.173340320587158,5558,
10,False,100.0,228,0.97,0.000001,1,228,0.9745263041369041,3.6878178733942724,,7.065467143931313,10.415344953536987,4396,
10,True,100.0,228,0.97,0.000001,1,228,1.0228065235500798,2.2834070639505266,,6.255007261813626,10.183917999267578,2287,
10,False,100.0,228,0.97,0.000001,1,228,0.6515979535656595,3.7213395393800077,,9.015026486477025,10.230883836746216,4427,
10,False,100.0,228,0.97,0.000001,1,228,1.7165292886576209,3.771628762274145,,7.509264686928806,10.346839189529419,5790,
10,False,100.0,228,0.97,0.000001,1,228,1.5054993772352527,4.964065988112341,,9.877608394766826,10.286226749420166,10291,
10,True,100.0,228,0.97,0.000001,1,228,0.8392176522359907,3.2322684753735014,,10.183101437903945,10.273614645004272,6882,
10,False,100.0,228,0.97,0.000001,1,228,-0.5862223088035841,4.304883262152298,,8.744575691882714,10.134454488754272,1946,
10,True,100.0,228,0.97,0.000001,1,228,0.07819138283451114,3.3755531833922614,,6.448461094653223,10.328552722930908,2539,
10,False,100.0,228,0.97,0.000001,1,228,0.2749689158661785,4.215673993257767,,9.015026486477025,10.314008951187134,10178,
10,False,100.0,228,0.97,0.000001,1,228,0.6388081660532429,7.11021412290885,,12.225022422898743,10.161093473434448,4061,
10,False,100.0,228,0.97,0.000001,1,228,-0.4875268610898722,4.324930368476498,,9.015026486477025,9.955694437026978,3176,
10,False,100.0,228,0.97,0.000001,1,228,4.777424569398816,7.372412736884991,,5.210245939718349,10.08441972732544,9696,
10,True,100.0,228,0.97,0.000001,1,228,1.23704291398712,2.8868032137813615,,5.5375129553813895,10.248993396759033,7562,
10,False,100.0,228,0.97,0.000001,1,228,0.5283588423504737,3.6081005741717935,,8.744575691882714,10.087126016616821,1996,
10,False,100.0,228,0.97,0.000001,1,228,-0.023765440136371413,4.82175941684897,,9.877608394766826,10.091264724731445,10113,
